Date,Open,High,Low,Close,Volume
01.01.2021 00:00:00.000,1904.998,1959.225,1802.948,1855.897,1348563895.3448
01.02.2021 00:00:00.000,1855.897,1871.636,1717.090,1739.085,1643720238.0894003
01.03.2021 00:00:00.000,1739.085,1759.715,1676.696,1707.358,1825269832.3728
01.04.2021 00:00:00.000,1707.338,1797.748,1705.638,1768.428,1406521971.9411004
01.05.2021 00:00:00.000,1768.870,1912.648,1765.945,1907.998,1562758479.5951998
01.06.2021 00:00:00.000,1907.978,1916.485,1750.488,1768.138,1275409456.6104999
01.07.2021 00:00:00.000,1768.178,1833.976,1765.528,1813.398,765353850.3051
01.08.2021 00:00:00.000,1813.321,1831.605,1670.488,1814.448,684645586.6101
01.09.2021 00:00:00.000,1814.408,1833.908,1721.548,1752.978,810207260.6086999
01.10.2021 00:00:00.000,1752.968,1813.748,1745.770,1779.958,934451659.7389
01.11.2021 00:00:00.000,1779.948,1877.118,1758.644,1773.098,876502798.5574999
01.12.2021 00:00:00.000,1773.128,1830.248,1752.928,1829.058,782639969.3484999
01.01.2022 00:00:00.000,1828.604,1853.748,1780.158,1789.408,918422321.0214001
