Date,Open,High,Low,Close,Volume
03.01.2021 20:00:00.000,1904.998,1914.858,1903.288,1913.035,3097155.0941
04.01.2021 00:00:00.000,1913.025,1925.145,1909.858,1923.120,8228389.978399999
04.01.2021 04:00:00.000,1923.119,1925.475,1918.984,1924.668,6508703.1126
04.01.2021 08:00:00.000,1924.678,1936.435,1924.468,1933.435,8730550.0508
04.01.2021 12:00:00.000,1933.435,1944.348,1929.228,1942.850,16081814.7659
04.01.2021 16:00:00.000,1942.840,1943.635,1932.518,1942.388,13930789.9474
04.01.2021 20:00:00.000,1942.388,1945.495,1940.378,1941.668,3388035.0291999998
05.01.2021 00:00:00.000,1941.518,1943.915,1934.178,1940.998,7023779.9883
05.01.2021 04:00:00.000,1940.998,1943.885,1936.588,1939.498,6858669.9963
05.01.2021 08:00:00.000,1939.598,1950.178,1939.298,1949.795,8616074.9197
05.01.2021 12:00:00.000,1949.788,1952.508,1938.938,1943.448,14743424.8924
05.01.2021 16:00:00.000,1943.448,1952.925,1942.755,1951.235,8864230.1558
05.01.2021 20:00:00.000,1951.195,1953.085,1947.615,1950.108,3775010.0494
06.01.2021 00:00:00.000,1950.148,1955.178,1942.015,1942.045,9318630.2185
06.01.2021 04:00:00.000,1942.035,1949.309,1941.305,1947.765,6710169.9113
06.01.2021 08:00:00.000,1947.715,1959.225,1945.168,1945.168,11405245.0656
06.01.2021 12:00:00.000,1945.168,1948.445,1903.895,1909.728,24640811.9202
06.01.2021 16:00:00.000,1909.649,1921.208,1900.755,1918.365,14140495.0618
06.01.2021 20:00:00.000,1918.305,1924.405,1915.208,1923.985,5591045.1412
07.01.2021 00:00:00.000,1923.955,1924.535,1914.595,1917.808,8461709.9762
07.01.2021 04:00:00.000,1917.808,1927.518,1915.925,1920.598,10146829.7242
07.01.2021 08:00:00.000,1920.561,1922.508,1908.845,1918.328,11192920.208
07.01.2021 12:00:00.000,1918.378,1919.648,1906.705,1913.568,15446169.8532
07.01.2021 16:00:00.000,1913.668,1917.906,1908.995,1917.068,9377729.8927
07.01.2021 20:00:00.000,1917.068,1917.988,1912.638,1916.425,2563080.0128
08.01.2021 00:00:00.000,1916.395,1916.548,1908.608,1910.545,6263109.982000001
08.01.2021 04:00:00.000,1910.535,1911.585,1904.318,1904.745,5745350.0032
08.01.2021 08:00:00.000,1904.725,1904.725,1876.835,1894.035,12274056.1963
08.01.2021 12:00:00.000,1894.015,1894.445,1849.715,1862.795,25612665.414800003
08.01.2021 16:00:00.000,1862.805,1865.495,1828.038,1846.488,22708577.156099997
08.01.2021 20:00:00.000,1846.368,1849.598,1844.235,1848.508,3753425.0021
10.01.2021 20:00:00.000,1849.163,1856.568,1841.365,1844.665,2934360.0273
11.01.2021 00:00:00.000,1844.625,1849.288,1816.888,1830.615,10289724.9459
11.01.2021 04:00:00.000,1830.605,1850.168,1826.998,1846.065,10345220.089
11.01.2021 08:00:00.000,1846.075,1855.346,1846.025,1849.348,11039969.9211
11.01.2021 12:00:00.000,1849.348,1850.479,1828.968,1848.865,16550320.1484
11.01.2021 16:00:00.000,1848.805,1851.578,1844.388,1846.708,12511359.930100001
11.01.2021 20:00:00.000,1846.894,1848.475,1842.938,1847.175,3702376.8721999996
12.01.2021 00:00:00.000,1847.135,1851.778,1841.162,1849.708,8161099.910699999
12.01.2021 04:00:00.000,1849.608,1861.648,1848.608,1859.405,7891279.9358
12.01.2021 08:00:00.000,1859.365,1863.738,1853.668,1860.018,10170710.2061
12.01.2021 12:00:00.000,1859.918,1861.447,1836.558,1841.678,16548599.7201
12.01.2021 16:00:00.000,1841.608,1857.198,1837.535,1854.128,12163310.0509
12.01.2021 20:00:00.000,1854.125,1858.795,1852.241,1858.745,3413588.9709
13.01.2021 00:00:00.000,1858.715,1862.892,1854.445,1859.255,6270939.9462
13.01.2021 04:00:00.000,1859.205,1862.595,1857.068,1857.415,5091830.0748000005
13.01.2021 08:00:00.000,1857.405,1858.005,1849.268,1852.410,12304080.009399999
13.01.2021 12:00:00.000,1852.419,1861.095,1849.578,1857.925,17964770.078599997
13.01.2021 16:00:00.000,1857.998,1859.678,1852.708,1853.455,11113553.7625
13.01.2021 20:00:00.000,1853.465,1854.055,1841.808,1848.265,4426500.0819999995
14.01.2021 00:00:00.000,1848.255,1852.128,1828.518,1839.115,7607950.150900001
14.01.2021 04:00:00.000,1839.115,1846.908,1835.988,1842.145,7413830.041900001
14.01.2021 08:00:00.000,1842.058,1845.108,1836.588,1842.255,8482209.921
14.01.2021 12:00:00.000,1842.255,1852.048,1837.408,1847.705,15440140.2472
14.01.2021 16:00:00.000,1847.665,1857.392,1843.675,1844.225,10961089.9687
14.01.2021 20:00:00.000,1844.458,1848.788,1844.185,1846.758,3975290.0899
15.01.2021 00:00:00.000,1846.808,1855.498,1846.765,1851.915,4727110.0283
15.01.2021 04:00:00.000,1851.905,1853.938,1846.625,1852.358,5893160.1048
15.01.2021 08:00:00.000,1852.398,1856.848,1846.888,1849.008,7432700.157199999
15.01.2021 12:00:00.000,1848.998,1850.528,1824.745,1829.327,19389009.9525
15.01.2021 16:00:00.000,1829.365,1833.348,1823.235,1828.415,14539320.2304
15.01.2021 20:00:00.000,1828.395,1828.678,1825.108,1827.478,4137827.0387
17.01.2021 20:00:00.000,1828.608,1830.188,1802.948,1810.325,3196723.938
18.01.2021 00:00:00.000,1810.628,1832.305,1810.228,1828.035,12350179.910600001
18.01.2021 04:00:00.000,1828.036,1840.675,1826.745,1834.725,9426260.232900001
18.01.2021 08:00:00.000,1834.725,1838.302,1829.838,1833.705,10338529.825100001
18.01.2021 12:00:00.000,1833.605,1837.798,1829.518,1836.825,10520830.154399998
18.01.2021 16:00:00.000,1836.825,1839.235,1835.758,1837.338,3257160.0675999997
18.01.2021 20:00:00.000,1837.558,1839.048,1836.000,1837.185,869700.0146
19.01.2021 00:00:00.000,1837.175,1843.505,1836.215,1837.325,7404110.0741
19.01.2021 04:00:00.000,1837.335,1841.525,1836.038,1837.775,6227150.0231
19.01.2021 08:00:00.000,1837.795,1845.335,1837.785,1842.705,8234630.107899999
19.01.2021 12:00:00.000,1842.695,1843.285,1832.843,1839.202,18517824.4113
19.01.2021 16:00:00.000,1839.202,1843.305,1837.025,1839.205,10230680.2272
19.01.2021 20:00:00.000,1839.145,1841.665,1838.385,1840.785,2654087.0071
20.01.2021 00:00:00.000,1840.845,1850.385,1839.292,1848.715,7970888.0186
20.01.2021 04:00:00.000,1848.715,1857.168,1848.095,1855.777,8260319.828999999
20.01.2021 08:00:00.000,1855.745,1857.255,1848.455,1848.475,11876010.1796
20.01.2021 12:00:00.000,1848.515,1870.286,1832.272,1866.659,26363149.643
20.01.2021 16:00:00.000,1866.657,1869.245,1861.882,1868.055,14892310.023300001
20.01.2021 20:00:00.000,1868.075,1872.148,1867.505,1869.815,3499935.0310000004
21.01.2021 00:00:00.000,1869.865,1872.585,1866.792,1872.225,6528689.8612
21.01.2021 04:00:00.000,1872.215,1874.915,1865.982,1867.335,8351258.814299999
21.01.2021 08:00:00.000,1867.305,1873.445,1866.447,1871.035,12676899.9099
21.01.2021 12:00:00.000,1871.035,1872.305,1858.131,1863.985,22982426.166599996
21.01.2021 16:00:00.000,1863.945,1869.595,1861.845,1869.265,11524530.053100001
21.01.2021 20:00:00.000,1869.245,1871.407,1867.794,1869.431,3203075.0513000004
22.01.2021 00:00:00.000,1869.451,1869.831,1859.728,1861.509,8446390.0923
22.01.2021 04:00:00.000,1861.512,1864.155,1857.101,1860.897,9217500.090599999
22.01.2021 08:00:00.000,1860.905,1863.765,1845.277,1849.435,15634994.983600002
22.01.2021 12:00:00.000,1849.475,1856.975,1837.195,1855.828,23090615.272600003
22.01.2021 16:00:00.000,1855.838,1858.235,1852.395,1855.538,9083339.810400002
22.01.2021 20:00:00.000,1855.555,1856.495,1852.458,1855.198,2295214.9510000004
24.01.2021 20:00:00.000,1854.187,1859.255,1853.777,1856.742,1176314.95
25.01.2021 00:00:00.000,1856.812,1859.895,1852.635,1853.672,10426139.8315
25.01.2021 04:00:00.000,1853.682,1856.465,1849.165,1853.635,9224320.0541
25.01.2021 08:00:00.000,1853.615,1865.855,1849.945,1862.905,14003349.7809
25.01.2021 12:00:00.000,1862.902,1867.735,1849.618,1851.765,21948559.522699997
25.01.2021 16:00:00.000,1851.772,1859.058,1847.025,1854.868,16945329.6661
25.01.2021 20:00:00.000,1854.858,1856.758,1853.425,1855.395,3081329.9417000003
26.01.2021 00:00:00.000,1855.375,1861.265,1853.058,1860.195,6870899.9157
26.01.2021 04:00:00.000,1860.155,1861.635,1849.907,1850.905,11069620.0131
26.01.2021 08:00:00.000,1850.925,1857.265,1848.345,1852.705,12701119.8997
26.01.2021 12:00:00.000,1852.695,1859.885,1849.845,1852.915,18611849.7848
26.01.2021 16:00:00.000,1852.935,1855.075,1849.327,1851.555,13419100.046200002
26.01.2021 20:00:00.000,1851.575,1852.865,1848.278,1851.245,2550674.9749
27.01.2021 00:00:00.000,1851.215,1851.345,1843.268,1845.385,7631970.0479
27.01.2021 04:00:00.000,1845.395,1851.172,1845.325,1850.855,6294730.1268
27.01.2021 08:00:00.000,1850.865,1853.096,1838.255,1841.283,12594599.962199999
27.01.2021 12:00:00.000,1841.275,1849.393,1831.227,1848.805,26034550.6668
27.01.2021 16:00:00.000,1848.825,1850.493,1840.517,1841.475,17069890.260700002
27.01.2021 20:00:00.000,1841.505,1845.055,1838.935,1839.817,9339247.1075
28.01.2021 00:00:00.000,1839.817,1840.378,1833.925,1837.815,11688364.9825
28.01.2021 04:00:00.000,1837.845,1839.118,1833.985,1836.135,8387579.679500001
28.01.2021 08:00:00.000,1836.255,1843.485,1834.365,1840.575,15345270.1569
28.01.2021 12:00:00.000,1840.515,1863.915,1837.506,1857.375,27610889.9116
28.01.2021 16:00:00.000,1857.369,1859.665,1834.797,1843.688,24931899.3092
28.01.2021 20:00:00.000,1843.698,1844.795,1840.388,1843.775,7432525.0387
29.01.2021 00:00:00.000,1843.795,1845.165,1839.418,1841.885,10574100.0175
29.01.2021 04:00:00.000,1841.875,1851.585,1840.945,1845.541,12331959.8437
